Skin,Weighting
CS:GO Weapon Case,1
eSports 2013 Case,1
Operation Bravo Case,1
CS:GO Weapon Case 2,1
eSports 2013 Winter Case,1
Winter Offensive Weapon Case,1
CS:GO Weapon Case 3,1
eSports 2014 Summer Case,1
Operation Phoenix Weapon Case,1
Operation Breakout Weapon Case,1
Operation Vanguard Weapon Case,1
Chroma Case,1
Chroma 2 Case,1
Falchion Case,1
Shadow Case,1
Revolver Case,1
Operation Wildfire Case,1
Operation Hydra Case,1
Spectrum Case,1
Spectrum 2 Case,1
Clutch Case,1
Horizon Case,1
Danger Zone Case,1
Gamma Case,1
Gamma 2 Case,1
Glove Case,1